"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1438,"20","RL",96,12444,"Pave","Reg","Lvl","AllPub","FR2","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2008,2008,"Hip","Stone",426,"Ex","TA","PConc","Ex","TA","Av","GLQ",1336,"Unf",0,596,1932,"GasA","Ex","Y","SBrkr",1932,0,0,1932,1,0,2,0,2,1,"Ex",7,"Typ",1,"Attchd",2008,"Fin",3,774,"TA","TA","Y",0,66,0,304,0,0,0,11,2008,"New","Partial",2.55611591517734
530,"20","RL",69,32668,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Crawfor","Norm","1Fam","1Story",6,3,1957,1975,"Hip","none",0,"Gd","TA","PConc","TA","TA","No","Rec",1219,"Unf",0,816,2035,"GasA","TA","Y","SBrkr",2515,0,0,2515,1,0,3,0,4,2,"TA",9,"Maj1",2,"Attchd",1975,"RFn",2,484,"TA","TA","Y",0,0,200,0,0,0,0,3,2007,"WD","Alloca",2.50218876571597
174,"20","RL",80,10197,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1961,1961,"Gable","BrkCmn",491,"TA","TA","CBlock","TA","TA","No","ALQ",288,"Rec",374,700,1362,"GasA","TA","Y","SBrkr",1362,0,0,1362,1,0,1,1,3,1,"TA",6,"Typ",1,"Attchd",1961,"Unf",2,504,"TA","TA","Y",0,20,0,0,0,0,0,6,2008,"COD","Normal",2.48503209856805
167,"20","RL",69,10708,"Pave","IR1","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","1Fam","1Story",5,5,1955,1993,"Hip","None",0,"Gd","TA","CBlock","TA","TA","No","LwQ",379,"BLQ",768,470,1617,"GasA","Ex","Y","FuseA",1867,0,0,1867,1,0,1,0,2,1,"TA",7,"Typ",3,"Attchd",1955,"Fin",1,303,"TA","TA","Y",476,0,0,0,142,0,0,11,2009,"COD","Normal",2.49772245467388
555,"60","RL",85,10625,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","1Fam","2Story",7,5,2003,2004,"Gable","BrkFace",292,"Gd","TA","PConc","Gd","TA","No","GLQ",866,"Unf",0,132,998,"GasA","Ex","Y","SBrkr",1006,1040,0,2046,1,0,2,1,3,1,"Gd",8,"Typ",1,"BuiltIn",2003,"RFn",3,871,"TA","TA","Y",320,62,0,0,0,0,0,8,2008,"WD","Normal",2.53025673837054
399,"30","RM",60,8967,"Pave","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","1Fam","1Story",5,2,1920,1950,"Gable","None",0,"TA","Fa","BrkTil","Fa","Po","No","Unf",0,"Unf",0,961,961,"GasA","Gd","Y","Mix",1077,0,0,1077,0,0,1,0,2,1,"TA",6,"Maj2",0,"Detchd",1920,"Unf",1,338,"Po","Po","N",0,0,0,0,0,0,0,11,2007,"WD","Abnorml",2.40806591226868
922,"90","RL",67,8777,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Feedr","Duplex","1.5Fin",5,7,1900,2003,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",1084,"Unf",0,188,1272,"GasA","Gd","Y","SBrkr",1272,928,0,2200,2,0,2,2,4,2,"TA",9,"Typ",0,"none",NA,"none",0,0,"none","none","N",0,70,0,0,0,0,0,9,2008,"WD","Normal",2.47575462535812
1442,"120","RM",69,4426,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","BrkFace",147,"Gd","TA","PConc","Gd","TA","Av","GLQ",697,"Unf",0,151,848,"GasA","Ex","Y","SBrkr",848,0,0,848,1,0,1,0,1,1,"Gd",3,"Typ",1,"Attchd",2004,"RFn",2,420,"TA","TA","Y",149,0,0,0,0,0,0,5,2008,"WD","Normal",2.47769008822698
1194,"120","RM",69,4500,"Pave","Reg","Lvl","AllPub","FR2","Gtl","Mitchel","Norm","TwnhsE","1Story",6,5,1999,1999,"Hip","BrkFace",425,"TA","TA","PConc","Ex","TA","No","GLQ",883,"Unf",0,341,1224,"GasA","Ex","Y","SBrkr",1224,0,0,1224,1,0,2,0,2,1,"TA",5,"Typ",0,"Attchd",1999,"Fin",2,402,"TA","TA","Y",0,304,0,0,0,0,0,6,2009,"WD","Normal",2.48604772791755
389,"20","RL",93,9382,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story",7,5,1999,2000,"Gable","BrkFace",125,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1468,1468,"GasA","Ex","Y","SBrkr",1479,0,0,1479,0,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",1999,"RFn",2,577,"TA","TA","Y",120,25,0,0,0,0,0,7,2008,"WD","Normal",2.49815423731063
1117,"80","RL",69,7750,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","1Fam","SLvl",8,5,2002,2002,"Hip","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",353,"Unf",0,55,408,"GasA","Ex","Y","SBrkr",779,640,0,1419,1,0,2,1,3,1,"Gd",7,"Typ",1,"BuiltIn",2002,"Fin",2,527,"TA","TA","Y",120,0,0,0,0,0,0,3,2009,"WD","Normal",2.49512380702179
192,"60","RL",69,7472,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","1Fam","2Story",7,9,1972,2004,"Gable","BrkFace",138,"TA","TA","CBlock","TA","TA","No","ALQ",626,"Unf",0,99,725,"GasA","Gd","Y","SBrkr",725,754,0,1479,1,0,1,1,4,1,"Gd",7,"Typ",0,"Attchd",1972,"Fin",2,484,"TA","TA","Y",0,32,0,0,0,0,0,6,2007,"WD","Normal",2.49507898871759
1158,"120","RL",34,5001,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Twnhs","1Story",7,5,2007,2008,"Gable","Stone",166,"Gd","TA","PConc","Gd","TA","No","GLQ",904,"Unf",0,410,1314,"GasA","Ex","Y","SBrkr",1314,0,0,1314,1,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2008,"RFn",2,626,"TA","TA","Y",172,62,0,0,0,0,0,7,2009,"WD","Normal",2.51331872585063
566,"70","RL",66,6858,"Pave","Reg","Bnk","AllPub","Corner","Gtl","SWISU","Norm","1Fam","2Story",6,4,1915,1950,"Gable","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,806,806,"GasA","TA","N","FuseF",841,806,0,1647,1,0,1,1,4,1,"Fa",6,"Typ",0,"Detchd",1920,"Unf",1,216,"TA","TA","Y",0,66,136,0,0,0,0,5,2010,"WD","Normal",2.46468570615639
1178,"50","RM",69,3950,"Pave","Reg","Bnk","AllPub","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin",6,8,1926,2004,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",468,"Unf",0,350,818,"GasA","TA","Y","SBrkr",818,406,0,1224,0,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1926,"Unf",1,210,"TA","TA","N",0,0,116,0,0,0,0,12,2009,"WD","Normal",2.45553683215155
780,"90","RL",78,10530,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Duplex","SFoyer",6,5,1977,1977,"Gable","BrkFace",90,"TA","TA","CBlock","Gd","TA","Gd","GLQ",975,"Unf",0,0,975,"GasA","TA","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",4,"Typ",0,"Attchd",1977,"Unf",2,504,"TA","TA","Y",0,0,0,0,0,0,0,5,2006,"WD","Normal",2.46920316439898
454,"60","FV",75,9000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","1Fam","2Story",8,5,2008,2008,"Gable","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,768,768,"GasA","Ex","Y","SBrkr",786,804,0,1590,0,0,2,1,3,1,"Gd",6,"Typ",0,"Attchd",2008,"RFn",2,676,"TA","TA","Y",0,30,0,0,0,0,0,6,2009,"WD","Normal",2.50592282227846
921,"60","RL",70,8462,"Pave","IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","1Fam","2Story",6,5,1994,1994,"Gable","BrkFace",105,"Gd","Gd","PConc","Gd","Gd","No","GLQ",814,"Unf",0,114,928,"GasA","Ex","Y","SBrkr",936,785,0,1721,0,1,2,1,3,1,"Gd",7,"Typ",0,"Attchd",1994,"RFn",2,471,"TA","TA","Y",300,87,0,0,0,0,0,7,2007,"WD","Normal",2.50234211375866
1018,"120","RL",69,5814,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,1984,1984,"Gable","None",0,"Gd","TA","CBlock","Gd","TA","Av","GLQ",1036,"Unf",0,184,1220,"GasA","Gd","Y","SBrkr",1360,0,0,1360,1,0,1,0,1,1,"Gd",4,"Typ",1,"Attchd",1984,"RFn",2,565,"TA","TA","Y",63,0,0,0,0,0,0,8,2009,"COD","Abnorml",2.49663214703725
1344,"50","RL",57,7558,"Pave","Reg","Bnk","AllPub","Inside","Gtl","Crawfor","Norm","1Fam","1.5Fin",6,6,1928,1950,"Gable","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,896,896,"GasA","Gd","Y","SBrkr",1172,741,0,1913,0,0,1,1,3,1,"TA",9,"Typ",1,"Detchd",1929,"Unf",2,342,"Fa","Fa","Y",0,0,0,0,0,0,0,3,2009,"WD","Normal",2.49187440281461
1364,"60","RL",73,8499,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,2006,2007,"Gable","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,616,616,"GasA","Ex","Y","SBrkr",616,796,0,1412,0,0,2,1,3,1,"Gd",6,"Typ",1,"BuiltIn",2007,"Fin",2,432,"TA","TA","Y",0,36,0,0,0,0,0,3,2007,"New","Partial",2.48186602088163
584,"75","RM",75,13500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","1Fam","2.5Unf",10,9,1893,2000,"Gable","None",0,"Ex","Ex","BrkTil","TA","TA","No","Unf",0,"Unf",0,1237,1237,"GasA","Gd","Y","SBrkr",1521,1254,0,2775,0,0,3,1,3,1,"Gd",9,"Typ",1,"Detchd",1988,"Unf",2,880,"Gd","TA","Y",105,502,0,0,0,0,0,7,2008,"WD","Normal",2.54093881780996
787,"50","RM",60,10800,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin",5,6,1915,1950,"Gable","None",0,"TA","Gd","PConc","Fa","TA","No","LwQ",686,"Unf",0,0,686,"GasA","TA","Y","SBrkr",966,686,0,1652,1,0,2,0,4,1,"TA",7,"Typ",0,"Detchd",1961,"Unf",1,416,"TA","TA","Y",0,0,196,0,0,0,1200,6,2010,"WD","Normal",2.47167188978384
1141,"20","RL",60,7350,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","1Fam","1Story",5,7,1951,1951,"Gable","None",0,"TA","TA","CBlock","TA","TA","Mn","ALQ",852,"Unf",0,100,952,"GasA","TA","Y","SBrkr",952,0,0,952,1,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1988,"Unf",2,840,"TA","TA","Y",0,0,0,0,0,0,0,6,2008,"COD","Abnorml",2.47167188978384
494,"20","RL",70,7931,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1960,1960,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",374,"LwQ",532,363,1269,"GasA","TA","Y","FuseA",1269,0,0,1269,0,0,1,1,3,1,"TA",6,"Typ",1,"Detchd",1964,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,0,6,2008,"WD","Normal",2.480830051399
1166,"20","RL",79,9541,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","1Fam","1Story",7,5,2009,2009,"Gable","Stone",268,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1502,1502,"GasA","Ex","Y","SBrkr",1502,0,0,1502,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2009,"RFn",2,644,"TA","TA","Y",0,114,0,0,0,0,0,9,2009,"New","Partial",2.51442686554424
152,"20","RL",107,13891,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Hip","Stone",436,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1400,"Unf",0,310,1710,"GasA","Ex","Y","SBrkr",1710,0,0,1710,1,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2007,"RFn",3,866,"TA","TA","Y",0,102,0,0,0,0,0,1,2008,"New","Partial",2.5516091711419
741,"70","RM",60,9600,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","1Fam","2Story",5,7,1910,2002,"Gable","None",0,"TA","Gd","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,264,264,"GasA","Ex","Y","SBrkr",768,664,0,1432,0,0,2,0,2,1,"TA",7,"Typ",0,"Detchd",1910,"Unf",2,360,"TA","Gd","Y",270,0,112,0,0,0,0,5,2007,"WD","Abnorml",2.46729897395573
1395,"120","RL",53,4045,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","TwnhsE","1Story",7,5,2006,2006,"Hip","BrkFace",45,"Gd","TA","PConc","Gd","TA","Av","GLQ",1070,"Unf",0,286,1356,"GasA","Ex","Y","SBrkr",1500,0,0,1500,1,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2006,"Fin",3,648,"TA","TA","Y",161,20,0,0,0,0,0,10,2006,"New","Partial",2.51894034806671
32,"20","RL",69,8544,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"Attchd",1966,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,0,6,2008,"WD","Normal",2.47771819326964
986,"190","RL",68,10880,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","2fmCon","1Story",5,5,1950,1950,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",1040,"Unf",0,124,1164,"GasW","TA","N","SBrkr",1164,0,0,1164,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1950,"Unf",1,240,"TA","TA","Y",0,48,0,0,0,0,0,8,2008,"ConLD","Normal",2.46266692155656
1424,"80","RL",69,19690,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Edwards","Norm","1Fam","SLvl",6,7,1966,1966,"Flat","None",0,"Gd","Gd","CBlock","Gd","TA","Av","Unf",0,"Unf",0,697,697,"GasA","TA","Y","SBrkr",1575,626,0,2201,0,0,2,0,4,1,"Gd",8,"Typ",1,"Attchd",1966,"Unf",2,432,"Gd","Gd","Y",586,236,0,0,0,738,0,8,2006,"WD","Alloca",2.52768012132086
160,"60","RL",134,19378,"Pave","IR1","HLS","AllPub","Corner","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2005,2006,"Gable","BrkFace",456,"Gd","TA","PConc","Gd","TA","Mn","GLQ",57,"Unf",0,1335,1392,"GasA","Ex","Y","SBrkr",1392,1070,0,2462,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",2006,"RFn",2,576,"TA","TA","Y",239,132,0,168,0,0,0,3,2006,"New","Partial",2.53971645906964
175,"20","RL",47,12416,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Timber","Norm","1Fam","1Story",6,5,1986,1986,"Gable","Stone",132,"TA","TA","CBlock","Gd","Fa","No","ALQ",1398,"LwQ",208,0,1606,"GasA","TA","Y","SBrkr",1651,0,0,1651,1,0,2,0,3,1,"TA",7,"Min2",1,"Attchd",1986,"Fin",2,616,"TA","TA","Y",192,0,0,0,0,0,0,11,2008,"WD","Normal",2.49507898871759
44,"20","RL",69,9200,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",491,167,938,"GasA","TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1977,"Unf",1,308,"TA","TA","Y",145,0,0,0,0,0,0,7,2008,"WD","Normal",2.46616638954738
1280,"50","C (all)",60,7500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Fin",4,4,1920,1950,"Gable","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf",0,698,698,"GasA","TA","Y","FuseA",698,430,0,1128,0,0,1,0,2,1,"TA",6,"Typ",0,"Detchd",1980,"RFn",2,528,"TA","TA","Y",30,0,164,0,0,0,0,4,2010,"COD","Abnorml",2.40992517733721
97,"20","RL",78,10264,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,1999,1999,"Gable","BrkFace",183,"Gd","TA","PConc","Gd","TA","Av","ALQ",1162,"Unf",0,426,1588,"GasA","Ex","Y","SBrkr",1588,0,0,1588,0,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",1999,"RFn",2,472,"TA","TA","Y",158,29,0,0,0,0,0,8,2006,"WD","Normal",2.50746131143494
1016,"60","RL",70,8400,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","1Fam","2Story",8,6,2001,2001,"Gable","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",643,"Unf",0,167,810,"GasA","Ex","Y","SBrkr",810,855,0,1665,1,0,2,1,3,1,"Gd",6,"Typ",0,"Attchd",2001,"Fin",2,528,"TA","TA","Y",0,45,0,0,0,0,0,11,2009,"WD","Normal",2.51225470077119
1198,"75","RM",65,8850,"Pave","IR1","Bnk","AllPub","Corner","Gtl","OldTown","Norm","1Fam","2.5Unf",7,6,1916,1950,"Gable","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,815,815,"GasA","Ex","Y","SBrkr",815,875,0,1690,0,0,1,0,3,1,"TA",7,"Typ",1,"Detchd",1916,"Unf",1,225,"TA","TA","Y",0,0,330,0,0,0,0,7,2006,"ConLw","Normal",2.4746516278832
683,"120","RL",69,2887,"Pave","Reg","HLS","AllPub","Inside","Gtl","ClearCr","Norm","1Fam","1Story",6,5,1996,1997,"Gable","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",1003,"Unf",0,288,1291,"GasA","Ex","Y","SBrkr",1291,0,0,1291,1,0,1,0,2,1,"Gd",6,"Typ",1,"Attchd",1996,"Unf",2,431,"TA","TA","Y",307,0,0,0,0,0,0,11,2008,"WD","Normal",2.48998099296118
1423,"120","RM",37,4435,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","TwnhsE","1Story",6,5,2003,2003,"Gable","BrkFace",170,"Gd","TA","PConc","Gd","TA","Av","GLQ",686,"Unf",0,162,848,"GasA","Ex","Y","SBrkr",848,0,0,848,1,0,1,0,1,1,"Gd",3,"Typ",0,"Attchd",2003,"Fin",2,420,"TA","TA","Y",140,0,0,0,0,0,0,3,2008,"WD","Normal",2.47013812108484
236,"160","RM",21,1680,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","TwnhsE","2Story",6,3,1971,1971,"Gable","BrkFace",604,"TA","TA","CBlock","TA","TA","No","ALQ",358,"Unf",0,125,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ",0,"Detchd",1971,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,0,8,2008,"WD","Normal",2.43378824398926
353,"50","RL",60,9084,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","1Fam","1.5Fin",5,6,1941,1950,"Gable","None",0,"TA","TA","CBlock","TA","Fa","Mn","LwQ",236,"Rec",380,0,616,"GasA","TA","N","SBrkr",616,495,0,1111,0,1,1,0,3,1,"TA",5,"Typ",0,"Detchd",1941,"Unf",1,200,"TA","Fa","Y",48,0,0,0,0,0,0,3,2008,"ConLw","Normal",2.43900512440738
